1  437
1  140
1  83
1  131
1  107
1  130
1  120
1  120
1  115
1  130
2  161
2  141
2  147
2  174
2  140
2  153
2  138
2  144
2  146
2  137
4  206
4  171
4  120
4  147
4  147
4  127
4  130
4  130
4  150
4  97
8  187
8  197
8  147
8  141
8  133
8  100
8  166
8  124
8  136
8  141
16  248
16  157
16  141
16  161
16  441
16  147
16  167
16  157
16  131
16  137
32  234
32  205
32  144
32  171
32  153
32  174
32  175
32  165
32  180
32  133
64  201
64  208
64  201
64  158
64  201
64  183
64  196
64  194
64  177
64  164
128  260
128  337
128  264
128  268
128  268
128  256
128  295
128  317
128  274
128  271
256  284
256  421
256  378
256  378
256  431
256  254
256  233
256  231
256  227
256  230
512  397
512  358
512  347
512  358
512  558
512  591
512  548
512  591
512  585
512  612
1024  1183
1024  1149
1024  1303
1024  1200
1024  1136
1024  1283
1024  1137
1024  681
1024  665
1024  634
2048  1396
2048  1347
2048  1238
2048  1256
2048  1200
2048  1259
2048  1203
2048  1229
2048  1196
2048  1249
4096  2937
4096  2800
4096  2649
4096  2663
4096  2602
4096  2669
4096  2659
4096  2586
4096  2589
4096  2579
8192  5819
8192  5833
8192  5776
8192  5749
8192  5740
8192  5630
8192  5673
8192  5726
8192  5783
8192  5770
16384  12375
16384  11716
16384  11563
16384  11583
16384  11509
16384  11552
16384  11596
16384  17091
16384  11606
16384  11590
32768  30726
32768  26113
32768  26163
32768  24716
32768  24060
32768  22701
32768  22081
32768  22124
32768  22158
32768  22201
65536  64734
65536  53361
65536  49981
65536  48778
65536  50364
65536  48815
65536  49738
65536  47794
65536  48396
65536  48658
131072  132170
131072  110926
131072  113040
131072  108707
131072  106638
131072  101226
131072  98802
131072  99120
131072  97193
131072  96706
262144  453009
262144  354276
262144  298900
262144  330308
262144  312058
262144  272304
262144  313250
262144  311222
262144  248191
262144  228802
524288  486661
524288  650542
524288  553154
524288  655225
524288  695334
524288  626525
524288  761398
524288  812395
524288  834882
524288  832418
1048576  975064
1048576  1074364
1048576  857052
1048576  1091465
1048576  1212813
1048576  1137644
1048576  1278063
1048576  838444
1048576  1136894
1048576  862033
2097152  1634226
2097152  2625669
2097152  2390860
2097152  2371773
2097152  2650257
2097152  2413535
2097152  2636523
2097152  2439108
2097152  2246544
2097152  2634391
4194304  3088729
4194304  3992630
4194304  4002358
4194304  4219643
4194304  4460838
4194304  4505841
4194304  4536453
4194304  3947116
4194304  4035588
4194304  3989486
8388608  5822373
8388608  7084712
8388608  7157348
8388608  7563129
